epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,3259.89,1.18643,0.93647,1.13294,0.54399,0.44807,0.47277,0.29595,1.17509,0.86907,1.02834,0.006634,0.006634,0.006634
104,3291.13,1.18566,0.93444,1.12537,0.48675,0.49292,0.47824,0.29467,1.17746,0.8917,1.0273,0.006601,0.006601,0.006601
105,3322.18,1.18576,0.94316,1.13215,0.47751,0.53136,0.49879,0.31,1.16083,0.86651,1.02272,0.006568,0.006568,0.006568
106,3353.42,1.1809,0.9327,1.12697,0.47428,0.46282,0.48507,0.30268,1.17522,0.87501,1.02646,0.006535,0.006535,0.006535
107,3384.47,1.18347,0.93257,1.12546,0.66363,0.43046,0.48633,0.30361,1.16348,0.86676,1.02295,0.006502,0.006502,0.006502
108,3415.52,1.1782,0.93007,1.12383,0.5662,0.44538,0.47479,0.29956,1.17734,0.87737,1.025,0.006469,0.006469,0.006469
109,3446.61,1.17632,0.92643,1.1228,0.58089,0.46497,0.49822,0.32054,1.15683,0.87125,1.02368,0.006436,0.006436,0.006436
110,3478.07,1.17862,0.92606,1.12827,0.47238,0.5028,0.4834,0.30571,1.16442,0.86715,1.02413,0.006403,0.006403,0.006403
111,3509.27,1.1713,0.92711,1.12409,0.43749,0.49159,0.4844,0.30632,1.16931,0.87762,1.0238,0.00637,0.00637,0.00637
112,3540.37,1.1801,0.93143,1.12732,0.63211,0.44103,0.49761,0.31726,1.15244,0.86067,1.0219,0.006337,0.006337,0.006337
113,3571.64,1.17375,0.92351,1.12653,0.56936,0.465,0.48158,0.30703,1.1611,0.87266,1.02407,0.006304,0.006304,0.006304
114,3602.64,1.16914,0.91988,1.12243,0.41406,0.5192,0.4741,0.30269,1.15197,0.86038,1.01959,0.006271,0.006271,0.006271
115,3633.67,1.18115,0.92721,1.12464,0.45577,0.53618,0.47652,0.30544,1.15118,0.85876,1.02024,0.006238,0.006238,0.006238
116,3664.99,1.17008,0.92338,1.12279,0.44012,0.55387,0.49728,0.31663,1.14784,0.85528,1.01817,0.006205,0.006205,0.006205
117,3696.1,1.16865,0.91804,1.12268,0.4309,0.51631,0.47582,0.29699,1.15582,0.86167,1.02083,0.006172,0.006172,0.006172
118,3727.14,1.17268,0.92189,1.12468,0.44618,0.53126,0.48519,0.30865,1.15362,0.8604,1.02132,0.006139,0.006139,0.006139
119,3758.26,1.16832,0.91918,1.12259,0.47724,0.55639,0.49513,0.31686,1.15717,0.85565,1.0206,0.006106,0.006106,0.006106
120,3789.57,1.16819,0.92346,1.12364,0.489,0.5248,0.48087,0.30882,1.16199,0.86422,1.0219,0.006073,0.006073,0.006073
